vendor_id,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code_id,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2016-06-01 00:00:00,2016-06-01 00:07:41,1,1.30,-74.008445739746094,40.706024169921875,1,N,-74.013389587402344,40.709644317626953,1,7.50,0.50,0.50,2.60,0.00,0.30,11.40
1,2016-06-01 00:00:00,2016-06-01 00:15:25,1,5.90,-73.962226867675781,40.760635375976563,1,N,-73.922286987304688,40.827213287353516,1,19.50,0.50,0.50,4.16,0.00,0.30,24.96
1,2016-06-01 00:00:00,2016-06-01 00:14:11,4,2.30,-73.972915649414063,40.754993438720703,1,N,-73.992263793945313,40.725242614746094,1,11.50,0.50,0.50,3.80,0.00,0.30,16.60
2,2016-06-01 00:00:00,2016-06-01 00:00:00,1,2.59,-73.997505187988281,40.725486755371094,1,N,-73.997741699218750,40.744918823242188,2,18.00,0.00,0.50,0.00,0.00,0.30,18.80
1,2016-06-01 00:00:01,2016-06-01 00:03:44,3,0.90,-74.002426147460938,40.750156402587891,1,N,-73.991065979003906,40.755153656005859,2,5.00,0.50,0.50,0.00,0.00,0.30,6.30
1,2016-06-01 00:00:01,2016-06-01 00:06:17,1,1.30,-73.987991333007812,40.754165649414063,1,N,-74.001464843750000,40.749118804931641,1,6.50,0.50,0.50,4.00,0.00,0.30,11.80
2,2016-06-01 00:00:01,2016-06-01 00:03:00,1,0.76,-73.976188659667969,40.775909423828125,1,N,-73.982299804687500,40.767860412597656,1,4.50,0.50,0.50,2.00,0.00,0.30,7.80
2,2016-06-01 00:00:02,2016-06-01 00:08:20,1,2.09,-73.985893249511719,40.747611999511719,1,N,-74.001113891601563,40.727691650390625,2,8.50,0.50,0.50,0.00,0.00,0.30,9.80
2,2016-06-01 00:00:02,2016-06-01 00:03:45,1,0.98,-74.002586364746094,40.750049591064453,1,N,-73.991943359375000,40.756000518798828,2,5.50,0.50,0.50,0.00,0.00,0.30,6.80
1,2016-06-01 00:00:03,2016-06-01 00:05:24,1,1.40,-73.988258361816406,40.743057250976563,1,N,-74.000000000000000,40.727993011474609,1,6.50,0.50,0.50,1.55,0.00,0.30,9.35
2,2016-06-01 00:00:03,2016-06-01 00:22:02,4,9.78,-73.979675292968750,40.771091461181641,1,N,-73.893867492675781,40.858894348144531,1,29.50,0.50,0.50,5.00,0.00,0.30,35.80
2,2016-06-01 00:00:03,2016-06-01 00:06:11,1,2.26,-73.970596313476563,40.755794525146484,1,N,-73.949699401855469,40.784530639648438,1,8.50,0.50,0.50,1.96,0.00,0.30,11.76
1,2016-06-01 00:00:05,2016-06-01 00:00:07,1,0.00,-73.789321899414062,40.646812438964844,1,N,-73.789329528808594,40.646804809570313,2,2.50,0.50,0.50,0.00,0.00,0.30,3.80
2,2016-06-01 00:00:05,2016-06-01 00:07:00,2,1.61,-73.974967956542969,40.759490966796875,1,N,-73.955406188964844,40.768478393554688,1,7.50,0.50,0.50,2.20,0.00,0.30,11.00
2,2016-06-01 00:00:06,2016-06-01 00:10:16,5,2.47,-73.980758666992188,40.778278350830078,1,N,-73.950141906738281,40.784259796142578,1,10.50,0.50,0.50,2.95,0.00,0.30,14.75
2,2016-06-01 00:00:06,2016-06-01 00:09:53,1,2.76,-74.005676269531250,40.740318298339844,1,N,-74.017112731933594,40.708999633789063,1,11.00,0.50,0.50,2.46,0.00,0.30,14.76
1,2016-06-01 00:00:06,2016-06-01 00:11:05,1,1.40,-74.005622863769531,40.740688323974609,1,N,-74.005516052246094,40.725646972656250,1,9.00,0.50,0.50,2.05,0.00,0.30,12.35
1,2016-06-01 00:00:06,2016-06-01 00:05:40,1,0.70,-73.949600219726563,40.780551910400391,1,N,-73.946067810058594,40.773231506347656,1,5.50,0.50,0.50,1.00,0.00,0.30,7.80
2,2016-06-01 00:00:06,2016-06-01 00:38:12,1,9.41,-73.993850708007813,40.756778717041016,1,N,-73.937408447265625,40.653934478759766,2,32.50,0.50,0.50,0.00,0.00,0.30,33.80
2,2016-06-01 00:00:06,2016-06-01 00:02:44,1,0.72,-73.996940612792969,40.757469177246094,1,N,-73.989120483398437,40.763759613037109,2,4.50,0.50,0.50,0.00,0.00,0.30,5.80
2,2016-06-01 00:00:06,2016-06-01 00:05:32,1,1.39,-73.994689941406250,40.725788116455078,1,N,-74.001976013183594,40.739585876464844,1,6.50,0.50,0.50,1.00,0.00,0.30,8.80
1,2016-06-01 00:00:07,2016-06-01 00:09:31,1,1.50,-74.003753662109375,40.742107391357422,1,N,-73.996276855468750,40.726844787597656,1,8.00,0.50,0.50,1.00,0.00,0.30,10.30
1,2016-06-01 00:00:07,2016-06-01 00:02:27,1,1.00,-73.964759826660156,40.764163970947266,1,N,-73.954872131347656,40.777587890625000,1,5.00,0.50,0.50,1.25,0.00,0.30,7.55
1,2016-06-01 00:00:07,2016-06-01 00:09:07,1,1.80,-73.987907409667969,40.724079132080078,1,N,-74.001213073730469,40.740135192871094,1,8.00,0.50,0.50,2.00,0.00,0.30,11.30
1,2016-06-01 00:00:08,2016-06-01 00:03:36,1,0.50,-73.951850891113281,40.777923583984375,1,N,-73.957489013671875,40.782688140869141,1,4.50,0.50,0.50,1.15,0.00,0.30,6.95
1,2016-06-01 00:00:09,2016-06-01 00:06:52,1,1.80,-73.981269836425781,40.764793395996094,1,N,-73.988838195800781,40.748115539550781,2,7.50,0.50,0.50,0.00,0.00,0.30,8.80
1,2016-06-01 00:00:10,2016-06-01 00:14:32,1,3.10,-73.992324829101563,40.721271514892578,1,N,-73.974891662597656,40.757984161376953,2,12.50,0.00,0.00,0.00,0.00,0.30,12.80
2,2016-06-01 00:00:10,2016-06-01 00:11:27,1,2.10,-73.960708618164062,40.761360168457031,1,N,-73.989631652832031,40.762779235839844,1,9.50,0.50,0.50,2.16,0.00,0.30,12.96
1,2016-06-01 00:00:11,2016-06-01 00:32:31,1,18.10,-73.789817810058594,40.643749237060547,2,N,-73.994163513183594,40.746147155761719,1,52.00,0.00,0.50,14.55,5.54,0.30,72.89
1,2016-06-01 00:00:11,2016-06-01 00:08:51,1,1.90,-73.986022949218750,40.759815216064453,1,N,-73.982116699218750,40.781406402587891,1,8.50,0.50,0.50,1.00,0.00,0.30,10.80
